GP_Type,Contract_Type,Country,Practice_Type,Gender,Age,Rurality,Region,Practice_Registered_Patients,Weekly Working Hours,Range_of_Gross_Earnings_from_Self_Employment_£,Range_of_Total_Expenses_from_Self_Employment_£,Range_of_Income_Before_Tax_from_Self_Employment_£,Range_of_Total_Income_Before_Tax_£,Sample Count,Estimated Population,Average SE Gross Earnings,Average SE Expenses,Average SE Income Before Tax,Average Emp Gross Earnings,Average Emp Expenses,Average Emp Income Before Tax,Average Tot Gross Earnings,Average Tot Expenses,Average Tot Income Before Tax,EER,Income Before Tax Standard Error,Median Income Before Tax,Average Total Expenses,Average Office and General Business,Average Premises,Average Employee,Average Car and Travel,Average Interest,Average Other,Average Net Capital Allowances,%Zero Office and General Business,%Zero Premises,%Zero Employee,%Zero Car and Travel,%Zero Interest,%Zero Other,%Zero Net Capital Allowances,Count_of_GPs,Percentage_of_GPs_%,Cumulative_Percentage_of_GPs_%,GE Median,GE Q1,GE Q3,GE D1,GE D9,TE Median,IBT Q1,IBT Q3,IBT D1,IBT D9
Contractor,GPMS,England,Non-dispensing,All,All,All,All,"20,000 and over",All,,,,,900,1600,,,,,,,612200,459100,153100,75,2095,136000,459100,23300,57300,339700,900,4500,31200,2100,0.3,0.3,0.8,14.8,36.4,0.4,4.5,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,All,All,All,East of England,All,All,,,,,750,1300,,,,,,,457700,320200,137500,70,1529,129400,320200,22400,44600,217100,1400,2400,30500,1900,0.7,0.9,1.1,7.1,55.3,0.4,5.3,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,All,All,All,London,All,All,,,,,1550,2650,,,,,,,538900,381700,157200,70.8,1534,142300,381700,22700,59300,261300,1700,2200,32100,2400,0.3,0.6,1.7,11.6,66.2,0.7,11.9,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,All,All,All,Midlands,All,All,,,,,1700,2950,,,,,,,465100,324000,141100,69.7,1062,131600,324000,22200,44200,217600,1100,2700,34200,2000,0.4,0.5,0.8,17.4,51.8,0.2,7.4,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,All,All,All,North East and Yorkshire,All,All,,,,,1250,2150,,,,,,,454100,325100,129000,71.6,1147,120800,325100,19600,50400,225900,700,1900,25100,1600,0.2,0.4,0.9,33.4,55.7,0.2,9.9,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,All,All,All,North West,All,All,,,,,1400,2450,,,,,,,443400,308400,135000,69.6,1241,124100,308400,19200,40600,222300,700,1200,23000,1500,0.9,0.9,1.3,41.4,54.7,0.1,10.2,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,All,All,All,South East of England,All,All,,,,,1200,2150,,,,,,,476100,337900,138200,71,1274,126300,337900,22400,40800,229700,800,3500,39100,1700,0.6,0.6,0.7,13.6,44.7,0.2,6,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,All,All,All,South West of England,All,All,,,,,750,1300,,,,,,,457000,339400,117700,74.3,1104,111000,339400,19700,33600,255500,500,8700,18900,2400,,,0.8,6.6,19.6,0.1,5.3,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,All,All,Rural,All,All,All,,,,,600,1050,,,,,,,442300,309900,132400,70.1,1445,122600,309900,20100,38700,214800,1000,4300,28900,2100,0.3,0.7,0.5,15.2,42.5,0.2,3.8,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,All,All,Urban,All,All,All,,,,,8050,13950,,,,,,,475600,336700,138900,70.8,530,127200,336700,21300,46400,233600,1000,2700,29700,1900,0.4,0.6,1.1,20.6,52.6,0.3,8.8,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,All,<40,All,All,All,All,,,,,1200,2050,,,,,,,431300,302400,128900,70.1,1118,122300,302400,18700,41600,211900,700,3100,24900,1700,0.3,0.4,0.9,21.2,49.1,0.2,7.6,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,All,>=40<50,All,All,All,All,,,,,3450,6000,,,,,,,481200,341800,139400,71,801,127900,341800,21300,46300,238600,900,3200,29500,1900,0.3,0.4,0.8,21,49.5,0.1,7.8,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,All,>=50<60,All,All,All,All,,,,,2950,5100,,,,,,,493300,350900,142400,71.1,850,129800,350900,22200,48100,244600,1100,2700,30400,1900,0.3,0.4,0.6,19.4,52.7,0.3,7.8,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,All,>=60,All,All,All,All,,,,,1050,1850,,,,,,,438500,303500,135000,69.2,1672,119300,303500,21300,42700,200300,1500,1800,33700,2200,1.2,1.8,3.1,19.1,60.8,1,13.1,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,Male,All,All,All,All,All,,,,,4600,7950,,,,,,,509300,357900,151400,70.3,735,140000,357900,22800,48700,247300,1200,3000,32800,2200,0.5,0.7,1.2,20.6,51.9,0.4,8.7,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,Male,<40,All,All,All,All,,,,,600,1000,,,,,,,460600,314700,145900,68.3,1801,135700,314700,18500,44000,220200,800,3500,26100,1700,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,Male,>=40<50,All,All,All,All,,,,,1700,2950,,,,,,,531400,376500,154900,70.9,1177,143100,376500,23500,50500,261900,1000,3500,34000,2200,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,Male,>=50<60,All,All,All,All,,,,,1550,2700,,,,,,,533300,377000,156300,70.7,1270,144600,377000,24300,51500,262600,1300,2700,32600,2100,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,Male,>=60,All,All,All,All,,,,,750,1300,,,,,,,447700,309900,137800,69.2,2015,123500,309900,21700,42800,204000,1500,1800,35700,2500,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,Female,All,All,All,All,All,,,,,4050,7050,,,,,,,432800,308900,123900,71.4,645,113700,308900,19500,42600,215400,800,2700,26200,1600,0.4,0.4,0.9,19.8,51.9,0.2,8.2,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,Female,<40,All,All,All,All,,,,,600,1050,,,,,,,402700,290300,112400,72.1,1179,108800,290300,18900,39200,203800,600,2700,23700,1600,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,Female,>=40<50,All,All,All,All,,,,,1800,3100,,,,,,,433500,308700,124700,71.2,1040,114700,308700,19300,42400,216500,800,2900,25200,1700,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,Female,>=50<60,All,All,All,All,,,,,1400,2400,,,,,,,448500,321700,126800,71.7,1043,115700,321700,19800,44200,224500,800,2700,28000,1600,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,England,Non-dispensing,Female,>=60,All,All,All,All,,,,,300,550,,,,,,,415800,287700,128100,69.2,2967,108100,287700,20300,42300,191300,1300,1800,29000,1700,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,,,,800,1450,,,,,,,342500,227200,115300,66.3,994,113200,227200,13800,25300,150200,700,1900,34000,1300,0.3,0.4,1.4,27.4,51.9,,7,,,,307200,239000,414500,185500,547100,189700,86800,137300,67700,167400
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,,"0 - 50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,3.3,3.3,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,,"50,000 - 75,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,12.1,15.4,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,,"75,000 - 100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,21.6,37,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,,"100,000 - 125,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,27.4,64.4,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,,"125,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,35.6,100,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,"0 - 50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1.1,1.1,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,"50,000 - 75,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1.8,2.9,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,"75,000 - 100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,6.6,9.5,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,"100,000 - 125,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,8.6,18.1,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,"125,000 - 150,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,14.1,32.2,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,"150,000 - 175,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,10.6,42.8,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,"175,000 - 200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,10.6,53.4,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,"200,000 - 225,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,8.5,61.9,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,"225,000 - 250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,7.1,69,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,,"250,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,30.9,99.9,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"0 - 125,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2.4,2.4,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"125,000 - 150,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2.5,4.9,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"150,000 - 175,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,3.7,8.6,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"175,000 - 200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,5,13.6,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"200,000 - 225,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,7.3,20.9,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"225,000 - 250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,8.2,29.1,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"250,000 - 275,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,9.8,38.9,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"275,000 - 300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,8.8,47.7,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"300,000 - 325,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,7.7,55.4,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"325,000 - 350,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,5.7,61.1,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"350,000 - 375,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,6.8,67.9,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"375,000 - 400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,5.6,73.5,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"400,000 - 425,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2.7,76.2,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"425,000 - 450,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,3.9,80.1,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"450,000 - 475,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2.5,82.6,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"475,000 - 500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2.7,85.3,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,All,All,"500,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,14.8,100.1,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,"Fewer than 5,000",All,,,,,100,150,,,,,,,324000,217200,106800,67,3550,102700,217200,17100,17400,124700,1600,1700,53100,1600,1.4,2.8,5.6,28.5,60.9,,23.4,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,400,700,,,,,,,348600,236500,112100,67.8,1523,108100,236500,13800,26200,156100,700,1600,36800,1200,,,1.6,25.4,54.5,,7.5,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,250,400,,,,,,,331700,208400,123400,62.8,1499,119600,208400,12900,25300,140700,700,1800,25700,1300,0.4,0.4,0.4,31.7,52.3,,3.9,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,100,150,,,,,,,352500,240700,111800,68.3,2797,106000,240700,13600,27600,165500,300,3500,29200,1000,,,,21.3,33.1,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,Rural,All,All,All,,,,,300,500,,,,,,,365300,246800,118500,67.6,1485,119000,246800,14900,21900,149100,1000,2100,55900,2000,0.4,0.4,0.4,31.7,49.9,,6.2,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,All,All,Urban,All,All,All,,,,,500,950,,,,,,,330900,217200,113600,65.7,1296,109800,217200,13300,27000,150800,600,1800,22900,900,0.2,0.4,2,25.3,52.9,,7.5,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,All,<40,All,All,All,All,,,,,200,300,,,,,,,323500,207600,116000,64.2,1785,113500,207600,12300,23700,140400,600,2000,27400,1200,0.6,0.6,1.8,29,50.7,,5.1,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,All,>=40<50,All,All,All,All,,,,,350,550,,,,,,,339200,226500,112700,66.8,1527,111700,226500,13800,24000,147100,600,2000,37500,1400,0.3,0.3,1.3,26.2,49.5,,5.8,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,All,>=50<60,All,All,All,All,,,,,250,450,,,,,,,359200,243500,115700,67.8,1960,112400,243500,15100,27900,163100,800,2100,33200,1200,,0.4,1.3,26.3,54.2,,8.7,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,All,>=60,All,All,All,All,,,,,50,100,,,,,,,347500,222800,124700,64.1,4162,127600,222800,12900,25800,144100,1100,900,37100,900,,,1.6,33.3,58.9,,12.5,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,Male,All,All,All,All,All,,,,,400,650,,,,,,,373400,244000,129400,65.3,1537,127600,244000,14700,26800,161800,900,2300,36000,1500,,,0.8,26.6,49,,5.8,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,Male,<40,All,All,All,All,,,,,50,100,,,,,,,361300,228100,133200,63.1,2577,131900,228100,13700,24100,155000,700,2400,30800,1500,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,Male,>=40<50,All,All,All,All,,,,,150,250,,,,,,,372000,245000,126900,65.9,2523,121900,245000,14200,26700,159200,800,2500,40000,1700,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,Male,>=50<60,All,All,All,All,,,,,150,200,,,,,,,387200,259500,127700,67,2869,123500,259500,16800,28700,175500,900,2600,33600,1400,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,Male,>=60,All,All,All,All,,,,,50,100,,,,,,,358600,223000,135600,62.2,5027,133800,223000,12200,26300,143100,1200,900,38300,1000,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,Female,All,All,All,All,All,,,,,450,750,,,,,,,315300,212400,102900,67.4,1156,99100,212400,13000,23900,140000,600,1600,32200,1100,0.5,0.7,2,28.2,54.5,,8.1,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,Female,<40,All,All,All,All,,,,,100,200,,,,,,,300000,194800,105200,64.9,2156,102000,194800,11500,23500,131300,500,1700,25400,1000,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,Female,>=40<50,All,All,All,All,,,,,200,350,,,,,,,314600,212600,102000,67.6,1711,101300,212600,13500,22100,138000,500,1500,35700,1200,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,Female,>=50<60,All,All,All,All,,,,,100,200,,,,,,,329700,226700,103000,68.8,2414,97600,226700,13400,27100,150100,700,1500,32800,1100,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,All,Female,>=60,All,All,All,All,,,,,50,50,,,,,,,319600,222500,97100,69.6,5594,89100,222500,14500,24600,146700,900,800,34200,800,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,All,All,All,All,All,All,,,,,200,250,,,,,,,402800,280300,122500,69.6,1510,119700,280300,15900,24300,154300,900,2500,80500,1900,,,,30.8,45.7,,3.8,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,All,All,All,All,"Fewer than 5,000",All,,,,,50,50,,,,,,,401300,295400,105800,73.6,4171,103400,295400,18000,22700,149400,2000,1400,99300,2600,,,,42.9,64.3,,14.3,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,100,100,,,,,,,428600,308600,119900,72,2434,118500,308600,16100,26200,172800,700,1900,89500,1500,,,,40.7,48.4,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,50,100,,,,,,,374100,243400,130600,65.1,2010,123600,243400,15000,17600,138800,900,3000,65800,2300,,,,23.4,35.9,,6.3,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,50,50,,,,,,,384700,255000,129700,66.3,5059,125200,255000,15300,36400,132100,700,4400,64400,1600,,,,,40,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,All,All,Rural,All,All,All,,,,,150,200,,,,,,,408000,284900,123100,69.8,1784,120300,284900,15700,21300,151100,1000,2800,90800,2300,,,,38.2,47.1,,2.5,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,All,All,Urban,All,All,All,,,,,50,50,,,,,,,386900,266400,120500,68.9,2780,117100,266400,16700,33600,164100,700,1500,49000,800,,,,7.8,41.2,,7.8,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,All,<40,All,All,All,All,,,,,50,50,,,,,,,383500,257100,126400,67,2782,125200,257100,15200,21800,148500,800,2400,66100,2300,,,,37.2,44.2,,4.7,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,All,>=40<50,All,All,All,All,,,,,100,100,,,,,,,396900,278700,118200,70.2,2309,118100,278700,15500,22000,152500,700,2700,83100,2200,,,,29.3,46.7,,1.1,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,All,>=50<60,All,All,All,All,,,,,50,50,,,,,,,426300,303300,123000,71.1,3217,119800,303300,17200,29500,165100,1400,2400,86500,1300,,,,29.1,43.6,,7.3,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,All,>=60,All,All,All,All,,,,,50,50,,,,,,,407700,274300,133400,67.3,4565,135800,274300,15800,25900,144700,700,1800,84000,1500,,,,27.8,50,,5.6,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,Male,All,All,All,All,All,,,,,100,150,,,,,,,425100,291000,134000,68.5,2272,133800,291000,16200,26600,163800,900,2600,79000,2000,,,,32.7,45.8,,3.7,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,Male,<40,All,All,All,All,,,,,50,50,,,,,,,440300,300700,139600,68.3,3149,138000,300700,15900,26900,175000,700,3400,76200,2500,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,Male,>=40<50,All,All,All,All,,,,,50,50,,,,,,,417400,286400,131000,68.6,4548,122600,286400,15200,21600,161100,900,3000,82100,2400,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,Male,>=50<60,All,All,All,All,,,,,50,50,,,,,,,428000,298800,129200,69.8,3942,143500,298800,17600,34100,167900,1000,1800,75200,1100,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,Male,>=60,All,All,All,All,,,,,50,50,,,,,,,416700,270100,146600,64.8,4722,145200,270100,15700,22300,143900,700,2200,83700,1700,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,Female,All,All,All,All,All,,,,,100,150,,,,,,,379300,269000,110300,70.9,1783,106800,269000,15700,21800,144200,1000,2300,82100,1900,,,,28.7,45.5,,4,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,Female,<40,All,All,All,All,,,,,50,50,,,,,,,329300,215500,113900,65.4,4120,108900,215500,14600,17000,123300,800,1500,56300,2100,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,Female,>=40<50,All,All,All,All,,,,,50,50,,,,,,,381100,272700,108400,71.6,1849,111000,272700,15700,22300,145800,600,2400,83900,2100,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Dispensing,Female,>=50<60,All,All,All,All,,,,,50,50,,,,,,,423800,310100,113700,73.2,5305,104500,310100,16600,22500,160800,2000,3300,103300,1600,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,All,All,All,All,All,All,,,,,600,1150,,,,,,,328100,214500,113500,65.4,1177,111100,214500,13300,25500,149200,700,1800,22900,1100,0.3,0.5,1.8,26.6,53.4,,7.8,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,All,All,All,All,"Fewer than 5,000",All,,,,,50,100,,,,,,,294700,187500,107200,63.6,4633,100800,187500,16700,15400,115400,1400,1800,35600,1100,1.9,3.8,7.7,23.1,59.6,,26.9,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,300,600,,,,,,,332000,221500,110500,66.7,1766,106600,221500,13300,26200,152700,700,1600,25800,1200,,,1.9,22.3,55.8,,9,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,200,350,,,,,,,321200,199700,121500,62.2,1800,117200,199700,12400,27200,141200,600,1500,15700,1100,0.6,0.6,0.6,33.7,56.4,,3.3,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,All,All,All,All,"15,000 to fewer than 20,000",All,,,,,50,150,,,,,,,344000,236900,107100,68.9,3222,102600,236900,13100,25200,174300,200,3300,19900,900,,,,26.9,31.3,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,All,All,Rural,All,All,All,,,,,150,250,,,,,,,333000,218000,114900,65.5,2224,115600,218000,14300,22400,147500,1000,1600,29500,1700,0.7,0.7,0.7,26.7,52.1,,8.9,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,All,All,Urban,All,All,All,,,,,450,900,,,,,,,326600,213500,113100,65.4,1378,109500,213500,13000,26500,149700,600,1800,20900,900,0.2,0.4,2.1,26.6,53.8,,7.4,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,All,<40,All,All,All,All,,,,,150,250,,,,,,,310200,196500,113600,63.4,2084,109800,196500,11700,24100,138600,600,1900,18800,900,0.7,0.7,2.2,27.2,52.2,,5.1,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,All,>=40<50,All,All,All,All,,,,,250,450,,,,,,,323700,212500,111200,65.6,1834,108800,212500,13400,24600,145700,600,1800,25300,1200,0.4,0.4,1.7,25.3,50.2,,7.1,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,All,>=50<60,All,All,All,All,,,,,200,350,,,,,,,345500,231300,114200,67,2264,111700,231300,14700,27600,162700,700,2000,22300,1200,,0.5,1.6,25.8,56.3,,8.9,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,All,>=60,All,All,All,All,,,,,50,100,,,,,,,332000,209500,122400,63.1,5094,124600,209500,12100,25800,144000,1200,600,25000,800,,,2,34.7,61.2,,14.3,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,Male,All,All,All,All,All,,,,,300,550,,,,,,,359600,231400,128100,64.4,1850,124700,231400,14300,26900,161300,900,2200,24500,1300,,,1.1,24.9,49.8,,6.4,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,Male,<40,All,All,All,All,,,,,50,100,,,,,,,337500,206200,131300,61.1,3206,131700,206200,13000,23300,149000,700,2100,17000,1100,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,Male,>=40<50,All,All,All,All,,,,,100,200,,,,,,,359600,233700,125800,65,2961,120900,233700,14000,28000,158700,700,2400,28500,1500,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,Male,>=50<60,All,All,All,All,,,,,100,200,,,,,,,377100,249800,127300,66.2,3443,122200,249800,16600,27400,177300,900,2800,23300,1400,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,Male,>=60,All,All,All,All,,,,,50,50,,,,,,,343400,210600,132700,61.3,6201,131200,210600,11300,27400,142900,1300,500,26400,800,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,Female,All,All,All,All,All,,,,,350,650,,,,,,,301700,200400,101300,66.4,1347,97200,200400,12400,24400,139100,500,1400,21600,900,0.6,0.9,2.4,28.1,56.4,,9,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,Female,<40,All,All,All,All,,,,,100,150,,,,,,,294800,191100,103700,64.8,2424,101400,191100,10900,24600,132700,500,1700,19800,800,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,Female,>=40<50,All,All,All,All,,,,,150,250,,,,,,,297000,196700,100300,66.2,2104,97200,196700,13000,22000,136000,500,1300,22900,1000,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,Female,>=50<60,All,All,All,All,,,,,100,200,,,,,,,314500,213200,101300,67.8,2662,96900,213200,12800,27900,148300,500,1300,21400,1000,,,,,,,,,,,,,,,,,,,,
Contractor,GPMS,Wales,Non-dispensing,Female,>=60,All,All,All,All,,,,,50,50,,,,,,,303400,206800,96600,68.2,6817,88200,206800,14100,21900,146600,1000,,22400,800,,,,,,,,,,,,,,,,,,,,
